type	variable	value
E8	GLOE.KO.20.5.1	1.17
E9	GLOE.KO.20.5.1	1.12
E10	GLOE.KO.20.5.1	1.26
E1	GLOE.KO.20.5.2	1.11
E2	GLOE.KO.20.5.2	1.2
E3	GLOE.KO.20.5.2	1.1
E4	GLOE.KO.20.5.2	1.29
E5	GLOE.KO.20.5.2	1.34
E6	GLOE.KO.20.5.2	1.14
E7	GLOE.KO.20.5.2	1.06
E8	GLOE.KO.20.5.2	1.13
E9	GLOE.KO.20.5.2	1.07
E10	GLOE.KO.20.5.2	1.15
E1	GLOE.KO.20.5.3	1.15
E2	GLOE.KO.20.5.3	1.29
E3	GLOE.KO.20.5.3	1.17
E4	GLOE.KO.20.5.3	1.41
E5	GLOE.KO.20.5.3	1.24
E6	GLOE.KO.20.5.3	1.2
E7	GLOE.KO.20.5.3	1.07
E8	GLOE.KO.20.5.3	1.17
E9	GLOE.KO.20.5.3	1.14
E10	GLOE.KO.20.5.3	1.2
E1	GLOE.KO.24hr.6.1	1.09
E2	GLOE.KO.24hr.6.1	1.13
E3	GLOE.KO.24hr.6.1	1.02
E4	GLOE.KO.24hr.6.1	1.18
E5	GLOE.KO.24hr.6.1	1.27
E6	GLOE.KO.24hr.6.1	1.05
E7	GLOE.KO.24hr.6.1	1.11
E8	GLOE.KO.24hr.6.1	1.02
E9	GLOE.KO.24hr.6.1	0.99
E10	GLOE.KO.24hr.6.1	1.05
E1	GLOE.KO.24hr.6.2	1.09
E2	GLOE.KO.24hr.6.2	1.14
E3	GLOE.KO.24hr.6.2	1.1
E4	GLOE.KO.24hr.6.2	1.22
E5	GLOE.KO.24hr.6.2	1.1
E6	GLOE.KO.24hr.6.2	1.12
E7	GLOE.KO.24hr.6.2	1.14
E8	GLOE.KO.24hr.6.2	1.04
E9	GLOE.KO.24hr.6.2	1.02
E10	GLOE.KO.24hr.6.2	1.21
E1	GLOE.KO.24hr.6.3	1.15
E2	GLOE.KO.24hr.6.3	1.23
E3	GLOE.KO.24hr.6.3	1.11
E4	GLOE.KO.24hr.6.3	1.15
E5	GLOE.KO.24hr.6.3	1.18
E6	GLOE.KO.24hr.6.3	1.13
E7	GLOE.KO.24hr.6.3	1.09
E8	GLOE.KO.24hr.6.3	1.03
E9	GLOE.KO.24hr.6.3	1
E10	GLOE.KO.24hr.6.3	1.15
